count,left,right
1,-11.59866714477539,-11.28736083984375
0,-11.28736083984375,-10.976054534912109
0,-10.976054534912109,-10.664748229980468
0,-10.664748229980468,-10.353441925048829
1,-10.353441925048829,-10.042135620117188
0,-10.042135620117188,-9.730829315185547
0,-9.730829315185547,-9.419523010253906
2,-9.419523010253906,-9.108216705322265
1,-9.108216705322265,-8.796910400390626
4,-8.796910400390626,-8.485604095458985
6,-8.485604095458985,-8.174297790527344
14,-8.174297790527344,-7.862991485595703
17,-7.862991485595703,-7.551685180664062
25,-7.551685180664062,-7.2403788757324214
48,-7.2403788757324214,-6.929072570800781
64,-6.929072570800781,-6.6177662658691405
86,-6.6177662658691405,-6.3064599609375
146,-6.3064599609375,-5.99515365600586
200,-5.99515365600586,-5.683847351074219
263,-5.683847351074219,-5.372541046142578
335,-5.372541046142578,-5.061234741210938
485,-5.061234741210938,-4.749928436279297
552,-4.749928436279297,-4.438622131347656
870,-4.438622131347656,-4.127315826416016
843,-4.127315826416016,-3.816009521484375
1047,-3.816009521484375,-3.504703216552734
1266,-3.504703216552734,-3.193396911621093
1412,-3.193396911621093,-2.8820906066894523
1484,-2.8820906066894523,-2.570784301757813
1640,-2.570784301757813,-2.2594779968261722
1714,-2.2594779968261722,-1.9481716918945313
1837,-1.9481716918945313,-1.6368653869628904
1811,-1.6368653869628904,-1.3255590820312495
1783,-1.3255590820312495,-1.0142527770996086
1621,-1.0142527770996086,-0.7029464721679677
1523,-0.7029464721679677,-0.39164016723632855
1443,-0.39164016723632855,-0.08033386230468764
1281,-0.08033386230468764,0.23097244262695327
1167,0.23097244262695327,0.5422787475585942
1026,0.5422787475585942,0.8535850524902351
912,0.8535850524902351,1.164891357421876
831,1.164891357421876,1.4761976623535151
733,1.4761976623535151,1.787503967285156
569,1.787503967285156,2.098810272216797
505,2.098810272216797,2.410116577148438
432,2.410116577148438,2.7214228820800788
335,2.7214228820800788,3.0327291870117197
295,3.0327291870117197,3.344035491943359
262,3.344035491943359,3.6553417968749997
203,3.6553417968749997,3.9666481018066406
169,3.9666481018066406,4.2779544067382815
124,4.2779544067382815,4.589260711669922
123,4.589260711669922,4.900567016601563
93,4.900567016601563,5.211873321533204
88,5.211873321533204,5.523179626464845
61,5.523179626464845,5.834485931396486
52,5.834485931396486,6.145792236328127
39,6.145792236328127,6.457098541259764
36,6.457098541259764,6.768404846191405
20,6.768404846191405,7.079711151123046
20,7.079711151123046,7.391017456054687
21,7.391017456054687,7.702323760986328
11,7.702323760986328,8.013630065917969
13,8.013630065917969,8.32493637084961
7,8.32493637084961,8.63624267578125
4,8.63624267578125,8.947548980712892
7,8.947548980712892,9.258855285644533
2,9.258855285644533,9.570161590576173
3,9.570161590576173,9.881467895507814
2,9.881467895507814,10.192774200439455
3,10.192774200439455,10.504080505371093
1,10.504080505371093,10.815386810302734
0,10.815386810302734,11.126693115234374
0,11.126693115234374,11.437999420166015
2,11.437999420166015,11.749305725097656
0,11.749305725097656,12.060612030029297
1,12.060612030029297,12.371918334960938
1,12.371918334960938,12.683224639892579
0,12.683224639892579,12.99453094482422
0,12.99453094482422,13.30583724975586
0,13.30583724975586,13.617143554687502
0,13.617143554687502,13.928449859619143
0,13.928449859619143,14.239756164550784
0,14.239756164550784,14.55106246948242
0,14.55106246948242,14.862368774414062
0,14.862368774414062,15.173675079345703
0,15.173675079345703,15.484981384277344
0,15.484981384277344,15.796287689208985
0,15.796287689208985,16.107593994140625
0,16.107593994140625,16.418900299072266
0,16.418900299072266,16.730206604003907
0,16.730206604003907,17.041512908935548
1,17.041512908935548,17.35281921386719
0,17.35281921386719,17.66412551879883
0,17.66412551879883,17.97543182373047
0,17.97543182373047,18.28673812866211
0,18.28673812866211,18.59804443359375
0,18.59804443359375,18.90935073852539
0,18.90935073852539,19.22065704345703
1,19.22065704345703,19.531963348388672
